PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
226,Wet Meadow,10.15,91.91,6.94,1.16,1017.26,33.88
2485,Dry Native Riparian Shrubland,0.56,69.38,26.76,3.87,1017.52,1.87
3210,Marsh/Wetland,4.96,88.73,11.27,0.00,1017.52,16.56
4450,Salt Meadow/Dry Grassland,1.37,87.69,8.67,3.64,1017.77,4.57
5483,Wet Meadow,30.45,82.85,17.04,0.11,1017.77,101.68
4444,Salt Meadow/Dry Grassland,0.83,83.53,14.72,1.75,1018.24,2.77
5408,Wet Meadow,0.26,81.48,8.93,9.59,1018.31,0.87
3829,Native Riparian Forest,3.56,11.34,38.23,50.43,1018.37,11.89
5036,Salt Meadow/Dry Grassland,9.88,93.87,6.10,0.02,1018.46,33.01
283,Tamarisk Woodland,14.61,50.25,46.41,3.34,1018.85,48.84
4648,Salt Meadow/Dry Grassland,0.52,67.14,8.89,23.97,1018.92,1.74
121,Salt Meadow/Dry Grassland,3.74,90.13,9.87,0.00,1019.03,12.5
1061,Salt Meadow/Dry Grassland,8.52,77.59,8.87,13.55,1019.36,28.49
3376,Native Riparian Forest,2.51,38.18,21.38,40.45,1019.48,8.4
5941,Tamarisk Woodland,2.35,7.22,74.69,18.09,1019.58,7.86
1047,Salt Meadow/Dry Grassland,18.21,87.93,7.22,4.85,1019.68,60.92
4869,Salt Meadow/Dry Grassland,0.56,87.13,4.66,8.21,1019.73,1.87
4109,Native Riparian Forest,20.16,5.13,25.06,69.82,1019.91,67.46
1204,Tamarisk Woodland,21.31,58.12,28.19,13.69,1020.17,71.33
5935,Tamarisk Woodland,2.1,21.88,57.25,20.87,1020.25,7.03
1050,Salt Meadow/Dry Grassland,9.69,84.36,12.08,3.56,1020.29,32.44
4210,Native Riparian Forest,3.42,26.40,9.69,63.90,1020.61,11.45
5252,Wet Meadow,2.16,81.21,11.44,7.35,1020.66,7.23
1261,Tamarisk Woodland,1.56,25.00,43.12,31.87,1020.68,5.22
