PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
4179,Native Riparian Forest,0.4,40.02,13.14,46.84,125.66,0.16
3223,Native Riparian Forest,0.81,76.51,13.14,10.35,141.06,0.37
4852,Salt Meadow/Dry Grassland,2.75,89.01,4.80,6.20,152.06,1.37
6626,Russian Olive Woodland,0.42,17.59,77.15,5.26,158.47,0.22
4343,Salt Meadow/Dry Grassland,9.24,91.15,2.83,6.02,177.74,5.39
4341,Salt Meadow/Dry Grassland,4.25,92.51,4.98,2.51,207.08,2.89
3528,Native Riparian Forest,1.11,42.21,24.55,33.24,211.17,0.77
144,Salt Meadow/Dry Grassland,109.31,98.44,1.55,0.01,211.62,75.89
4053,Native Riparian Forest,1.22,44.64,5.77,49.60,227.54,0.91
3344,Native Riparian Forest,5.41,68.99,5.21,25.80,232.42,4.13
4815,Salt Meadow/Dry Grassland,58.79,93.27,2.61,4.12,235.52,45.43
3938,Native Riparian Forest,2.6,51.43,7.55,41.01,235.91,2.01
4144,Native Riparian Forest,0.84,56.08,14.91,29.01,239.87,0.66
4363,Salt Meadow/Dry Grassland,3.86,92.84,5.20,1.96,240.79,3.05
5,Dry Native Riparian Shrubland,1.08,97.38,2.62,0.00,248.07,0.88
7,Dry Native Riparian Shrubland,7.12,96.33,3.67,0.00,248.34,5.8
4009,Native Riparian Forest,0.53,29.48,5.13,65.39,249.53,0.43
4811,Salt Meadow/Dry Grassland,3.36,91.37,2.27,6.37,252.89,2.79
6294,Russian Olive Woodland,1.19,42.42,29.87,27.71,257.57,1.01
3343,Native Riparian Forest,1.58,66.10,3.56,30.34,257.74,1.34
4260,Salt Meadow/Dry Grassland,76.29,97.99,1.95,0.06,261.39,65.42
10473,Salt Meadow/Dry Grassland,2.92,96.77,3.22,0.01,263.3,2.52
3880,Native Riparian Forest,0.38,13.89,15.05,71.06,268.13,0.33
2463,Dry Native Riparian Shrubland,1.28,89.56,10.40,0.04,271.01,1.14
3342,Native Riparian Forest,0.58,71.08,9.37,19.55,278.49,0.53
3703,Native Riparian Forest,1.38,16.61,4.90,78.49,278.54,1.26
4339,Salt Meadow/Dry Grassland,4.82,90.01,2.93,7.06,280.9,4.44
4748,Salt Meadow/Dry Grassland,0.36,86.79,13.08,0.14,283.25,0.33
4336,Salt Meadow/Dry Grassland,0.92,94.38,4.79,0.83,285.04,0.86
3882,Native Riparian Forest,0.68,17.32,10.53,72.15,286.95,0.64
3939,Native Riparian Forest,2.65,59.76,2.25,37.99,288.68,2.51
139,Salt Meadow/Dry Grassland,158.22,95.14,4.85,0.01,290.64,150.87
6,Dry Native Riparian Shrubland,0.56,94.07,5.93,0.00,291.78,0.54
131,Salt Meadow/Dry Grassland,9.23,99.17,0.83,0.00,293.47,8.89
3339,Native Riparian Forest,0.52,62.25,12.58,25.17,306.06,0.52
4945,Salt Meadow/Dry Grassland,0.42,78.52,2.26,19.21,308.19,0.42
5062,Salt Meadow/Dry Grassland,481.67,96.68,2.53,0.79,309.65,489.33
24,Dry Native Riparian Shrubland,3.23,89.67,10.33,0.00,309.84,3.28
26,Dry Native Riparian Shrubland,7.58,85.82,14.18,0.00,310.13,7.71
4819,Salt Meadow/Dry Grassland,7.52,90.43,3.59,5.97,314.95,7.77
4839,Salt Meadow/Dry Grassland,153.24,94.73,2.49,2.78,317.03,159.39
4519,Salt Meadow/Dry Grassland,4.57,87.39,7.55,5.06,319.55,4.79
4933,Salt Meadow/Dry Grassland,1.56,80.10,2.43,17.46,319.87,1.64
4838,Salt Meadow/Dry Grassland,16.94,95.83,1.82,2.35,321.3,17.86
4340,Salt Meadow/Dry Grassland,1.41,90.24,3.81,5.95,322.71,1.49
22,Dry Native Riparian Shrubland,0.75,89.44,10.56,0.00,324.01,0.8
4159,Native Riparian Forest,0.99,50.81,19.92,29.27,324.22,1.05
4707,Salt Meadow/Dry Grassland,7.95,92.10,3.67,4.23,324.56,8.47
4730,Salt Meadow/Dry Grassland,4.84,98.98,0.81,0.21,326.17,5.18
3888,Native Riparian Forest,0.8,13.07,5.61,81.31,326.88,0.86
10461,Salt Meadow/Dry Grassland,248.99,95.27,2.69,2.04,327.74,267.73
3881,Native Riparian Forest,0.37,10.12,2.51,87.37,328.73,0.4
3536,Native Riparian Forest,12.9,42.67,9.35,47.98,331.46,14.03
4592,Salt Meadow/Dry Grassland,1.02,79.40,7.06,13.54,333.1,1.11
4160,Native Riparian Forest,2.36,57.69,12.81,29.49,333.77,2.58
4708,Salt Meadow/Dry Grassland,1.3,94.52,2.58,2.90,336.34,1.43
4328,Salt Meadow/Dry Grassland,123.91,96.22,3.43,0.35,338.37,137.56
5437,Wet Meadow,14.71,95.02,4.79,0.20,339.49,16.38
3403,Native Riparian Forest,1.11,32.91,11.67,55.42,340.14,1.24
4817,Salt Meadow/Dry Grassland,8.37,91.19,1.90,6.91,340.23,9.34
3224,Native Riparian Forest,4.56,75.39,8.45,16.16,346.02,5.18
574,Dry Native Riparian Shrubland,0.84,92.50,7.50,0.00,346.35,0.95
6090,Tamarisk Woodland,0.55,23.48,41.57,34.95,346.56,0.63
860,Dry Native Riparian Shrubland,0.81,78.59,21.41,0.00,354.37,0.94
4161,Native Riparian Forest,12.29,56.36,6.84,36.80,355.4,14.33
4351,Salt Meadow/Dry Grassland,11.82,96.01,2.50,1.49,355.78,13.8
3940,Native Riparian Forest,16.4,67.54,4.85,27.61,357.26,19.22
4121,Native Riparian Forest,0.53,21.39,2.90,75.71,362.49,0.63
1085,Salt Meadow/Dry Grassland,8.84,96.80,2.86,0.34,363.53,10.54
10468,Salt Meadow/Dry Grassland,0.61,98.25,1.75,0.00,363.67,0.73
4162,Native Riparian Forest,103,55.39,10.99,33.62,367.02,124.03
5402,Wet Meadow,1.5,93.20,4.95,1.86,369.33,1.82
4709,Salt Meadow/Dry Grassland,4.11,93.18,2.91,3.91,374.28,5.05
3700,Native Riparian Forest,1.62,14.91,4.97,80.12,374.89,1.99
3883,Native Riparian Forest,2.47,24.95,9.92,65.13,376.26,3.05
4344,Salt Meadow/Dry Grassland,20.76,92.59,3.59,3.82,376.68,25.66
10462,Salt Meadow/Dry Grassland,206.8,98.23,1.75,0.02,379.63,257.57
4013,Native Riparian Forest,2.41,46.87,10.29,42.84,379.73,3
4094,Native Riparian Forest,1.27,19.06,2.91,78.03,381.28,1.59
4698,Salt Meadow/Dry Grassland,0.57,74.02,2.63,23.35,384.72,0.72
4055,Native Riparian Forest,5.34,31.36,5.33,63.31,385.71,6.76
6150,Tamarisk Woodland,0.81,15.65,44.51,39.85,385.99,1.03
5293,Wet Meadow,0.36,86.76,8.92,4.32,386.98,0.46
4385,Salt Meadow/Dry Grassland,8,87.17,5.93,6.90,390.95,10.26
6511,Russian Olive Woodland,1.15,8.98,64.02,26.99,392.8,1.48
5734,Tamarisk Woodland,0.33,70.80,20.01,9.19,392.98,0.43
4779,Salt Meadow/Dry Grassland,49.18,93.97,5.30,0.73,393.83,63.55
3345,Native Riparian Forest,2.08,59.25,9.58,31.17,393.92,2.69
637,Salt Meadow/Dry Grassland,0.82,95.40,1.44,3.16,395.23,1.06
244,Tamarisk Woodland,1.66,93.66,5.70,0.64,395.62,2.15
4715,Salt Meadow/Dry Grassland,3.34,90.16,6.90,2.94,396.07,4.34
3878,Native Riparian Forest,0.65,6.76,4.50,88.74,396.12,0.84
3426,Native Riparian Forest,4.65,35.75,35.08,29.18,396.75,6.05
4680,Salt Meadow/Dry Grassland,3.1,73.48,13.69,12.82,398.67,4.05
4721,Salt Meadow/Dry Grassland,2.35,91.04,1.78,7.18,398.73,3.07
4010,Native Riparian Forest,1.5,32.77,10.48,56.75,399.37,1.97
5000,Salt Meadow/Dry Grassland,47.28,9.89,59.63,30.48,400.8,62.17
1070,Salt Meadow/Dry Grassland,3.79,89.16,9.19,1.66,401.09,4.99
4056,Native Riparian Forest,1.79,47.23,5.87,46.90,406.9,2.39
4836,Salt Meadow/Dry Grassland,1.16,99.81,0.13,0.06,406.97,1.55
4597,Salt Meadow/Dry Grassland,2.94,83.26,2.74,14.00,407.04,3.93
4950,Salt Meadow/Dry Grassland,5.51,84.14,4.09,11.77,408.68,7.39
4054,Native Riparian Forest,5.55,30.39,11.60,58.01,409.63,7.46
3336,Native Riparian Forest,11.63,55.24,9.03,35.73,409.71,15.63
3990,Native Riparian Forest,2.3,38.76,53.20,8.04,409.97,3.09
5014,Salt Meadow/Dry Grassland,49.7,98.61,1.38,0.01,410.07,66.87
5013,Salt Meadow/Dry Grassland,275.91,95.10,3.23,1.67,413.14,373.98
4679,Salt Meadow/Dry Grassland,1.82,73.44,4.38,22.18,413.71,2.47
8162,Mixed Russian Olive-Tamarisk Woodland and Scrub,0.37,22.76,45.05,32.19,413.92,0.5
3332,Native Riparian Forest,5.16,56.92,16.41,26.67,414.87,7.02
4163,Native Riparian Forest,0.78,50.61,23.93,25.46,415.89,1.06
3535,Native Riparian Forest,2.34,36.91,9.74,53.35,416.72,3.2
6096,Tamarisk Woodland,1.44,59.12,35.69,5.20,417.1,1.97
11,Dry Native Riparian Shrubland,0.91,95.53,4.47,0.00,418.73,1.25
1105,Wet Meadow,9.31,91.58,7.85,0.57,418.85,12.79
3225,Native Riparian Forest,18.71,80.24,8.77,10.99,419.88,25.77
246,Tamarisk Woodland,1.23,97.97,1.31,0.72,420.16,1.7
5011,Salt Meadow/Dry Grassland,11.22,92.19,5.51,2.30,420.57,15.48
3334,Native Riparian Forest,0.96,51.81,30.37,17.82,421.17,1.33
3879,Native Riparian Forest,0.85,6.34,25.95,67.71,421.45,1.18
862,Dry Native Riparian Shrubland,9.18,71.22,28.72,0.05,421.75,12.7
4722,Salt Meadow/Dry Grassland,10.6,96.48,2.39,1.13,422.47,14.69
205,Salt Meadow/Dry Grassland,0.71,89.44,10.56,0.00,422.76,0.98
4110,Native Riparian Forest,5.7,17.03,49.18,33.78,422.99,7.91
6601,Russian Olive Woodland,12.28,79.38,20.20,0.42,423.46,17.06
1337,Tamarisk Woodland,10.49,53.43,28.16,18.42,423.87,14.59
588,Dry Native Riparian Shrubland,10.01,81.15,18.79,0.06,424.12,13.93
4718,Salt Meadow/Dry Grassland,20.18,93.89,1.71,4.40,426.6,28.24
621,Native Riparian Forest,0.3,48.20,2.70,49.10,427.93,0.42
242,Tamarisk Woodland,4.13,92.49,6.59,0.92,428.19,5.8
4145,Native Riparian Forest,11.51,68.80,5.28,25.93,428.78,16.19
3540,Native Riparian Forest,1.65,44.65,9.35,46.01,429.46,2.32
4813,Salt Meadow/Dry Grassland,0.31,90.40,2.54,7.06,429.85,0.44
566,Salt Meadow/Dry Grassland,115.04,90.02,9.30,0.68,430.55,162.5
4065,Native Riparian Forest,0.56,36.24,12.41,51.36,430.61,0.79
1115,Wet Meadow,8.28,85.10,13.28,1.63,430.95,11.71
261,Tamarisk Woodland,0.29,87.52,11.96,0.52,431.23,0.41
4778,Salt Meadow/Dry Grassland,2.89,98.81,1.19,0.00,432.11,4.1
3892,Native Riparian Forest,0.45,5.97,5.75,88.28,433.73,0.64
4898,Salt Meadow/Dry Grassland,11.99,87.27,9.94,2.80,434.36,17.09
3886,Native Riparian Forest,0.48,21.25,5.76,72.99,435.2,0.69
4717,Salt Meadow/Dry Grassland,24.44,92.08,4.22,3.71,435.73,34.94
4384,Salt Meadow/Dry Grassland,10.75,87.53,3.87,8.60,436.15,15.38
59,Dry Native Riparian Shrubland,1.52,74.41,25.59,0.00,436.84,2.18
4706,Salt Meadow/Dry Grassland,0.3,90.45,1.15,8.40,437.32,0.43
6197,Tamarisk Woodland,1.44,44.01,51.51,4.49,437.46,2.07
4531,Salt Meadow/Dry Grassland,0.63,77.74,13.36,8.90,438.04,0.91
4904,Salt Meadow/Dry Grassland,0.4,85.64,10.56,3.81,438.33,0.58
587,Dry Native Riparian Shrubland,0.82,84.28,15.72,0.00,438.39,1.18
4076,Native Riparian Forest,6.51,8.72,17.83,73.44,438.47,9.36
5005,Salt Meadow/Dry Grassland,12.4,85.30,11.58,3.12,438.59,17.84
4058,Native Riparian Forest,16.79,39.89,9.58,50.53,438.9,24.18
3537,Native Riparian Forest,0.89,41.23,38.27,20.50,439.81,1.28
4899,Salt Meadow/Dry Grassland,20.15,87.43,8.68,3.89,440.85,29.14
4007,Native Riparian Forest,4.07,35.75,4.07,60.17,442.94,5.91
3893,Native Riparian Forest,2.12,16.67,16.20,67.13,443.92,3.09
3063,Wet Native Willow Shrubland,0.74,15.09,73.46,11.45,444.86,1.08
2552,Dry Native Riparian Shrubland,54.4,91.27,8.56,0.18,445.52,79.51
2814,Wet Native Willow Shrubland,1.42,38.85,55.56,5.59,448.13,2.09
4737,Salt Meadow/Dry Grassland,1.17,84.57,6.20,9.23,449.11,1.72
123,Salt Meadow/Dry Grassland,8.33,96.08,3.92,0.00,449.52,12.29
247,Tamarisk Woodland,0.32,93.19,5.97,0.84,449.7,0.47
4712,Salt Meadow/Dry Grassland,0.82,98.70,1.24,0.06,449.87,1.21
865,Salt Meadow/Dry Grassland,75.6,91.31,7.04,1.65,452.92,112.34
248,Tamarisk Woodland,0.33,95.00,3.66,1.34,454.03,0.49
128,Salt Meadow/Dry Grassland,2.7,98.30,1.70,0.00,454.33,4.02
645,Salt Meadow/Dry Grassland,262.12,95.83,3.90,0.27,454.6,390.94
3533,Native Riparian Forest,34.13,38.93,9.53,51.54,455.16,50.97
245,Tamarisk Woodland,7.15,96.87,1.90,1.23,456.19,10.7
1086,Salt Meadow/Dry Grassland,2.25,80.51,13.78,5.71,457.3,3.38
267,Tamarisk Woodland,0.27,80.35,14.58,5.07,457.48,0.41
2555,Dry Native Riparian Shrubland,0.81,73.90,26.10,0.00,457.61,1.22
274,Tamarisk Woodland,0.31,75.34,22.65,2.01,458.33,0.47
4825,Salt Meadow/Dry Grassland,0.76,99.03,0.97,0.00,458.77,1.14
4493,Salt Meadow/Dry Grassland,0.84,77.36,17.49,5.16,459.12,1.27
620,Native Riparian Forest,0.42,38.54,1.13,60.33,460.16,0.63
4716,Salt Meadow/Dry Grassland,22.34,99.19,0.38,0.44,460.3,33.74
589,Dry Native Riparian Shrubland,493.78,80.33,18.99,0.68,461.64,747.86
6130,Tamarisk Woodland,1.01,74.90,16.93,8.17,462.62,1.53
4860,Salt Meadow/Dry Grassland,3.15,89.08,3.45,7.47,463.37,4.79
4956,Salt Meadow/Dry Grassland,1.29,77.57,5.23,17.19,467.37,1.98
243,Tamarisk Woodland,0.27,90.98,9.02,0.00,467.49,0.41
275,Tamarisk Woodland,0.32,78.36,21.09,0.55,467.56,0.49
4859,Salt Meadow/Dry Grassland,6.83,89.02,5.32,5.66,468.31,10.49
4854,Salt Meadow/Dry Grassland,2.04,85.38,4.68,9.94,468.93,3.14
263,Tamarisk Woodland,0.32,76.28,17.57,6.14,469.05,0.49
4935,Salt Meadow/Dry Grassland,0.91,75.50,1.52,22.98,469.16,1.4
3672,Native Riparian Forest,9.7,20.14,8.99,70.87,470.15,14.96
151,Salt Meadow/Dry Grassland,48.51,93.26,6.27,0.47,470.75,74.92
4008,Native Riparian Forest,23.11,31.83,3.25,64.92,471.5,35.75
586,Dry Native Riparian Shrubland,9.72,83.89,16.02,0.10,471.88,15.05
10470,Native Riparian Forest,1.85,50.88,20.42,28.71,472,2.86
4810,Salt Meadow/Dry Grassland,26.19,93.39,5.79,0.82,472.14,40.57
3532,Native Riparian Forest,15.63,37.31,9.03,53.66,474.38,24.33
412,Tamarisk Woodland,0.28,18.84,60.76,20.40,474.77,0.44
5374,Wet Meadow,4.46,58.13,18.60,23.28,474.77,6.95
4846,Salt Meadow/Dry Grassland,3.32,98.72,1.15,0.13,474.94,5.17
4951,Salt Meadow/Dry Grassland,1.04,84.81,2.84,12.35,475.69,1.62
4746,Salt Meadow/Dry Grassland,1.5,87.03,6.57,6.40,475.83,2.34
5442,Wet Meadow,4.01,99.56,0.44,0.00,476.37,6.27
4399,Salt Meadow/Dry Grassland,1.31,86.69,9.60,3.71,477.19,2.05
1084,Salt Meadow/Dry Grassland,9.02,96.92,2.94,0.14,477.75,14.14
3424,Native Riparian Forest,0.33,27.50,12.17,60.33,479.69,0.52
4523,Salt Meadow/Dry Grassland,20.04,83.27,12.55,4.18,479.7,31.54
4517,Salt Meadow/Dry Grassland,3.08,87.22,8.29,4.49,479.79,4.85
161,Salt Meadow/Dry Grassland,0.7,95.31,4.69,0.00,480.25,1.1
4812,Salt Meadow/Dry Grassland,1.37,94.44,3.49,2.06,481.12,2.16
592,Dry Native Riparian Shrubland,18.73,77.70,21.92,0.38,481.32,29.58
2574,Wet Native Willow Shrubland,8.33,77.32,21.02,1.66,482.01,13.17
772,Tamarisk Woodland,0.39,14.19,85.81,0.00,482.35,0.62
5492,Wet Meadow,20.6,63.54,33.89,2.57,487,32.91
4401,Salt Meadow/Dry Grassland,3.89,82.71,11.51,5.78,487.12,6.22
728,Tamarisk Woodland,0.28,61.38,37.90,0.72,487.45,0.45
3976,Native Riparian Forest,1.74,63.04,7.01,29.95,487.85,2.78
4824,Salt Meadow/Dry Grassland,1.52,92.26,2.88,4.86,488.22,2.43
3699,Native Riparian Forest,1.11,16.70,12.13,71.17,489.2,1.78
648,Salt Meadow/Dry Grassland,7.92,93.28,6.64,0.08,489.2,12.71
3539,Native Riparian Forest,2.14,33.06,8.13,58.81,489.87,3.44
4931,Salt Meadow/Dry Grassland,0.3,76.23,4.00,19.77,490.13,0.48
3926,Native Riparian Forest,2.34,77.62,12.43,9.95,490.83,3.77
4133,Native Riparian Forest,7.56,77.97,11.36,10.66,490.96,12.18
577,Dry Native Riparian Shrubland,0.31,85.36,14.64,0.00,493.39,0.5
654,Salt Meadow/Dry Grassland,21.68,88.42,11.58,0.01,494.7,35.19
10460,Salt Meadow/Dry Grassland,182.23,95.72,4.14,0.14,495.43,296.2
4769,Salt Meadow/Dry Grassland,2.39,83.21,3.83,12.96,496.13,3.89
3405,Native Riparian Forest,9.22,48.16,14.93,36.91,497.16,15.04
3,Salt Meadow/Dry Grassland,22.02,91.14,8.86,0.00,497.39,35.93
4348,Salt Meadow/Dry Grassland,13.23,93.84,1.98,4.18,498.09,21.62
4338,Salt Meadow/Dry Grassland,0.58,99.79,0.21,0.00,498.87,0.95
5664,Tamarisk Woodland,3.16,79.57,9.33,11.10,499.14,5.17
4337,Salt Meadow/Dry Grassland,0.31,98.89,0.79,0.32,499.63,0.51
694,Tamarisk Woodland,0.6,83.61,16.39,0.00,499.94,0.98
4821,Salt Meadow/Dry Grassland,0.6,93.80,1.52,4.68,501.48,0.99
10463,Wet Meadow,197.59,99.01,0.83,0.16,501.89,325.35
3917,Native Riparian Forest,0.36,8.13,12.20,79.67,502.33,0.59
6173,Tamarisk Woodland,31.04,88.81,10.88,0.31,504.13,51.34
3333,Native Riparian Forest,5.17,71.93,10.61,17.45,504.31,8.55
585,Dry Native Riparian Shrubland,0.62,85.49,14.51,0.00,504.31,1.03
593,Dry Native Riparian Shrubland,0.64,79.54,20.46,0.00,504.64,1.06
700,Tamarisk Woodland,1.18,78.60,21.40,0.00,504.86,1.95
4168,Native Riparian Forest,5.2,42.99,52.17,4.85,505.89,8.63
5661,Tamarisk Woodland,0.81,75.14,24.86,0.00,506.54,1.35
4828,Salt Meadow/Dry Grassland,16.91,97.18,0.51,2.30,506.66,28.11
4525,Salt Meadow/Dry Grassland,13.37,80.11,13.04,6.85,507.13,22.25
140,Salt Meadow/Dry Grassland,7.44,95.08,4.92,0.00,507.78,12.39
647,Salt Meadow/Dry Grassland,0.37,91.34,8.66,0.00,507.99,0.62
3861,Native Riparian Forest,0.25,18.89,7.89,73.22,508.24,0.42
646,Salt Meadow/Dry Grassland,0.56,93.83,6.17,0.00,509.25,0.94
5016,Salt Meadow/Dry Grassland,15.01,95.64,4.15,0.21,509.52,25.09
3335,Native Riparian Forest,7.4,65.88,11.46,22.65,509.8,12.38
1143,Tamarisk Woodland,91.84,79.93,19.63,0.43,509.9,153.64
1015,Salt Meadow/Dry Grassland,17.66,91.35,8.65,0.00,510.39,29.57
6231,Russian Olive Woodland,4.89,67.96,25.89,6.15,510.42,8.19
4851,Salt Meadow/Dry Grassland,10.18,85.29,6.19,8.52,512,17.1
740,Tamarisk Woodland,0.26,38.19,61.81,0.00,513.7,0.44
4128,Native Riparian Forest,23.66,85.68,6.39,7.93,514.02,39.9
652,Salt Meadow/Dry Grassland,4.43,83.37,16.62,0.01,514.06,7.47
3900,Native Riparian Forest,0.93,50.30,8.33,41.37,515.01,1.57
4855,Salt Meadow/Dry Grassland,7.25,88.43,2.26,9.31,515.86,12.27
4513,Salt Meadow/Dry Grassland,5.95,78.57,12.82,8.62,516.73,10.09
149,Salt Meadow/Dry Grassland,14.1,92.58,7.39,0.03,518.7,23.99
4350,Salt Meadow/Dry Grassland,0.8,92.53,4.64,2.83,519.08,1.36
208,Salt Meadow/Dry Grassland,5.96,87.42,12.58,0.00,520.12,10.17
594,Dry Native Riparian Shrubland,0.98,78.81,21.09,0.10,520.69,1.67
104,Native Riparian Forest,0.51,44.23,8.22,47.55,521.06,0.87
584,Dry Native Riparian Shrubland,0.39,87.48,12.52,0.00,521.49,0.67
265,Tamarisk Woodland,0.48,80.84,17.46,1.70,521.98,0.82
4142,Native Riparian Forest,1.05,58.04,21.94,20.02,523.83,1.8
2642,Wet Native Willow Shrubland,6.48,63.74,34.79,1.47,523.9,11.14
3538,Native Riparian Forest,4.33,46.10,27.87,26.03,524.29,7.45
4398,Salt Meadow/Dry Grassland,3.3,83.52,12.62,3.87,525.33,5.69
2462,Dry Native Riparian Shrubland,1.15,78.05,18.11,3.84,526,1.98
5403,Wet Meadow,0.43,93.23,6.37,0.41,526.11,0.74
4866,Salt Meadow/Dry Grassland,3.23,88.96,3.13,7.91,527.21,5.59
3515,Native Riparian Forest,0.68,46.14,16.49,37.37,528.28,1.18
4897,Salt Meadow/Dry Grassland,13.53,89.21,8.67,2.12,529.27,23.49
4164,Native Riparian Forest,42.17,57.27,7.89,34.84,529.86,73.31
166,Salt Meadow/Dry Grassland,288.24,96.16,2.90,0.95,530.47,501.65
4050,Native Riparian Forest,2.56,43.22,12.25,44.53,530.85,4.46
3530,Native Riparian Forest,20.65,30.70,9.57,59.72,531.19,35.99
4386,Salt Meadow/Dry Grassland,3.49,88.85,4.46,6.69,531.59,6.09
1152,Tamarisk Woodland,2.8,86.15,13.84,0.01,531.63,4.88
150,Salt Meadow/Dry Grassland,10.63,98.78,1.21,0.01,531.73,18.54
8150,Mixed Russian Olive-Tamarisk Woodland and Scrub,0.85,12.86,38.62,48.52,532.27,1.48
3107,Wet Native Willow Shrubland,1.59,53.64,39.60,6.76,532.28,2.78
3977,Native Riparian Forest,2.29,51.21,13.11,35.68,534.14,4.01
4216,Native Riparian Forest,1.21,44.21,7.49,48.29,534.42,2.12
3885,Native Riparian Forest,0.95,8.27,2.99,88.73,534.7,1.67
322,Tamarisk Woodland,1.46,33.45,65.45,1.10,537.17,2.57
4555,Salt Meadow/Dry Grassland,0.9,83.42,10.89,5.69,537.75,1.59
4900,Salt Meadow/Dry Grassland,0.36,89.35,5.36,5.29,538.04,0.64
6095,Tamarisk Woodland,0.43,27.05,37.19,35.76,538.12,0.76
721,Tamarisk Woodland,1.49,57.14,41.90,0.97,538.22,2.63
4638,Salt Meadow/Dry Grassland,0.65,72.48,20.83,6.69,538.27,1.15
650,Salt Meadow/Dry Grassland,2.43,83.71,16.18,0.11,538.55,4.29
4820,Salt Meadow/Dry Grassland,0.26,91.26,3.99,4.75,538.55,0.46
5133,Wet Meadow,12.81,91.72,7.95,0.33,538.73,22.64
4510,Salt Meadow/Dry Grassland,4.12,76.99,21.35,1.66,539.05,7.29
4591,Salt Meadow/Dry Grassland,0.77,75.21,13.36,11.43,539.73,1.36
714,Tamarisk Woodland,1.21,74.08,22.72,3.20,540.93,2.15
3972,Native Riparian Forest,4.2,50.04,11.76,38.20,541.93,7.47
5739,Tamarisk Woodland,2.25,63.34,34.42,2.25,542.59,4.01
4711,Salt Meadow/Dry Grassland,1.01,94.05,3.33,2.62,543.13,1.8
5115,Wet Meadow,2.84,96.25,1.80,1.95,543.55,5.06
4352,Salt Meadow/Dry Grassland,3.46,91.92,3.84,4.24,543.87,6.17
5443,Wet Meadow,3.69,95.80,4.20,0.00,543.93,6.58
4760,Salt Meadow/Dry Grassland,0.42,89.48,6.88,3.64,544.03,0.75
4600,Salt Meadow/Dry Grassland,1.91,82.14,3.83,14.03,544.22,3.41
4594,Salt Meadow/Dry Grassland,1.62,75.66,9.84,14.49,544.85,2.9
4903,Salt Meadow/Dry Grassland,0.64,81.37,9.51,9.12,545.14,1.14
3875,Native Riparian Forest,0.89,12.84,21.50,65.66,545.68,1.59
3912,Native Riparian Forest,5.59,16.89,9.03,74.08,545.98,10.01
2527,Dry Native Riparian Shrubland,3.25,81.05,18.26,0.69,546.77,5.83
156,Salt Meadow/Dry Grassland,1.18,96.51,3.49,0.00,547.03,2.12
1001,Native Riparian Forest,15.91,60.76,13.39,25.85,547.21,28.56
6143,Tamarisk Woodland,1.26,39.26,46.27,14.47,547.53,2.26
4732,Salt Meadow/Dry Grassland,0.34,100.00,0.00,0.00,547.84,0.61
4335,Salt Meadow/Dry Grassland,6.32,91.75,5.42,2.84,548.01,11.36
2551,Dry Native Riparian Shrubland,30.4,8.95,39.85,51.20,548.69,54.72
4360,Salt Meadow/Dry Grassland,69.99,92.40,2.83,4.76,548.75,126.01
4482,Salt Meadow/Dry Grassland,0.45,83.42,16.58,0.00,548.94,0.81
4841,Salt Meadow/Dry Grassland,20.04,96.42,2.33,1.25,548.97,36.09
723,Tamarisk Woodland,9.2,72.29,26.97,0.74,549.1,16.57
4739,Salt Meadow/Dry Grassland,16.53,89.84,4.33,5.82,550.04,29.83
5125,Wet Meadow,3.52,91.39,7.77,0.84,550.48,6.36
5380,Wet Meadow,6.5,94.30,3.11,2.59,551.94,11.77
4747,Salt Meadow/Dry Grassland,0.38,81.85,9.88,8.27,552.27,0.69
4710,Salt Meadow/Dry Grassland,10.35,97.25,2.03,0.72,552.51,18.76
4393,Salt Meadow/Dry Grassland,73.61,87.42,4.61,7.97,552.59,133.45
4174,Native Riparian Forest,0.41,34.05,14.99,50.96,553.42,0.74
4496,Salt Meadow/Dry Grassland,1.05,88.41,9.24,2.35,553.67,1.91
262,Tamarisk Woodland,0.51,82.16,17.84,0.00,553.88,0.93
1334,Tamarisk Woodland,17.52,66.41,29.39,4.20,554.2,31.86
268,Tamarisk Woodland,5.25,89.13,9.61,1.27,555.29,9.56
6097,Tamarisk Woodland,82.36,65.01,32.17,2.81,555.77,150.17
582,Dry Native Riparian Shrubland,47.35,87.76,11.21,1.03,556.68,86.48
69,Dry Native Riparian Shrubland,4.5,71.06,27.19,1.75,556.79,8.22
4865,Salt Meadow/Dry Grassland,4.15,85.45,5.75,8.80,556.92,7.58
4768,Salt Meadow/Dry Grassland,0.91,84.02,5.78,10.21,557.13,1.66
924,Dry Native Riparian Shrubland,8.33,73.29,25.40,1.31,557.27,15.23
3409,Native Riparian Forest,9.1,41.64,12.19,46.17,557.44,16.64
4643,Salt Meadow/Dry Grassland,0.42,59.30,6.26,34.44,557.97,0.77
4987,Salt Meadow/Dry Grassland,6.73,59.97,27.69,12.34,558.28,12.33
1087,Salt Meadow/Dry Grassland,4.03,93.27,6.42,0.31,558.39,7.38
4258,Salt Meadow/Dry Grassland,8.13,94.08,4.50,1.41,559.42,14.92
227,Wet Meadow,5.28,84.83,14.63,0.54,561.1,9.72
5032,Salt Meadow/Dry Grassland,39.52,96.34,3.44,0.23,561.16,72.76
116,Native Riparian Forest,0.36,17.22,14.66,68.12,561.5,0.66
